Cust ID,Name,Address,Suburb,City,Postcode,MarketID,Period,Market Description,CustomerCode
1,Zelas Wines,"Archway Road,London?,London? N6 5AX",London?,London?,N6 5AX,Int,Feb 2019,International,1
2,Oz Wines,"Little St.,Richmond,Melbourne 3121",Richmond,Melbourne,3121,Vic,Feb 2019,Victoria,2
4,The Sussex Wine Company,"Birdham Road,Chichester,West Sussex PO20 7DU",Chichester,West Sussex,PO20 7DU,Int,Feb 2019,International,3
5,Merchant's Lair?,"Nepean Highway,Mentone,Melbourne 3194",Mentone,Melbourne,3194,Vic,Feb 2019,Victoria,4
6,Australia Wines Direct,"High St.,Stourbridge,West Midlands DY8 1TA",Stourbridge,West Midlands,DY8 1TA,Int,Feb 2019,International,5
7,Prestige Wines,"Lygon St.,Carlton,Melbourne 3053",Carlton,Melbourne,3053,Vic,Feb 2019,Victoria,6
10,La Cantina at Mercato,"Lower North East Rd,Campbelltown,Adelaide 5074",Campbelltown,Adelaide,5074,Aus,Feb 2019,Rest of Australia,7
11,T & A Wines,"Station Way,Brandon,Suffolk? IP27 0BH",Brandon,Suffolk?,IP27 0BH,Int,Feb 2019,International,8
12,Acme Wine Imports,"High St,Fullham,London SW1A 1LZ",Fullham,London,SW1A 1LZ,Int,Feb 2019,International,9
13,The Wine Rep,"Smith St.,Collingwood,Melbourne 3066",Collingwood,Melbourne,3066,Vic,Feb 2019,Victoria,10
14,Gangemis Fine Wine and Foods,"Hay Street,West Perth,Perth 6005",West Perth,Perth,6005,Aus,Feb 2019,Rest of Australia,11
15,Aussie Boutique Wines,"Springvale Rd.,Springvale South,Melbourne 3172",Springvale South,Melbourne,3172,Vic,Feb 2019,Victoria,12
16,Armadale Cellars?,"High Street,Armadale,Melbourne 3143",Armadale,Melbourne,3143,Vic,Feb 2019,Victoria,13
17,Dande Upmarket Wines,"Pikkles St.,Dandenong,Melbourne 3175",Dandenong,Melbourne,3175,Vic,Feb 2019,Victoria,14
18,Family Wines Direct?,"Miamup Road,Cowaramup,Perth 6284",Cowaramup,Perth,6284,Aus,Feb 2019,Rest of Australia,15
19,Fine Wine Merchant?,"Mount Eliza Way,Mt Eliza,Melbourne 3930",Mt Eliza,Melbourne,3930,Vic,Feb 2019,Victoria,16
3,London Wines,"King St.,London?,London? SW1A 1LZ",London?,London?,SW1A 1LZ,Int,Feb 2019,International,17
9,Justerini & Brooks,"The Strand,London?,London? SW1A 1LZ",London?,London?,SW1A 1LZ,Int,Feb 2019,International,18
8,The Wine Club,"James St,Nth. Melb,Melbourne 3051",Nth. Melb,Melbourne,3051,Vic,Feb 2019,Victoria,19
20,The Wine Room,"Tankerton Road,Whitstable?,Whitstable? CT5 2AJ",Whitstable?,Whitstable?,CT5 2AJ,Int,Feb 2019,International,20
21,Galah Wine,"Sturt Hwy,Ashton,Adelaide 5137",Ashton,Adelaide,5137,Aus,Feb 2019,Rest of Australia,21
22,Leon Stolarski Fine Wines,"Nottingham Road,Hucknall,Nottingham NG15 7QE",Hucknall,Nottingham,NG15 7QE,Int,Feb 2019,International,22
23,Liquor Barons?,"Cambridge Street,Wembley,Perth 6014",Wembley,Perth,6014,Aus,Feb 2019,Rest of Australia,23
1,Zelas Wines,"Archway Road,London?,London? N6 5AX",London?,London?,N6 5AX,Int,Jan 2018,International,24
